column,n_non_null,q1,median,q3,iqr,iqr_lower,iqr_upper,n_outliers_iqr,pct_outliers_iqr,min,max,mean_raw,mean_without_outliers
Discount_rate,1008628,0.0,0.0,0.0,0.0,0.0,0.0,63086,6.254635009141131,0.0,0.6,0.014779690827539986,0.0
Order Total (GBP),1008628,52.44,85.73,111.19936457505958,58.75936457505958,-35.69904686258937,199.33841143764894,33724,3.343551834769608,0.0,6390.47,90.86129610544937,84.8561817055308
Gross Sale (GBP),1008628,52.44,85.73,111.19936457505958,58.75936457505958,-35.69904686258937,199.33841143764894,33724,3.343551834769608,0.0,6390.47,90.86129610544937,84.8561817055308
Net Sale (GBP),1008628,48.41138659320477,79.1798389721088,103.13285631405918,54.721469720854415,-33.67081798807685,185.2150608953408,33521,3.3234254849161435,0.0,5733.934499775684,83.94180712500109,78.37536052908791
net_revenue_gbp,1008628,47.531572904707225,77.1193559746844,102.35433070866142,54.8227578039542,-34.702563801224066,184.5884674145927,32860,3.257890917166686,-3910.27,5733.934499775684,81.66417680699985,76.24172982407802
Net sale less refund (GBP),1008628,47.531572904707225,77.1193559746844,102.35433070866142,54.8227578039542,-34.702563801224066,184.5884674145927,32860,3.257890917166686,-3910.27,5733.934499775684,81.66417680699985,76.24172982407802
Refund (GBP),1008628,0.0,0.0,0.0,0.0,0.0,0.0,27542,2.730640037754256,0.0,3957.78,2.455679775816546,0.0
