boss_order_id,order_date,shop,Brands,shipping_country,Order Total (GBP),Refund (GBP),net_revenue_gbp,has_coupon,coupon_code,campaign_type_clean
3291303,2024-09-22,CrazyBulk UK,CrazyBulk,GB,566.95,0.0,472.45833333333337,True,LCBUK55G4Y3TNND,No coupon
2284683,2022-11-23,CrazyBulk CA,CrazyBulk,CA,566.9116225101528,0.0,566.9116225101528,True,",FREE PRODUCT,BUY 2 GET 1 FREE,FRIDAY",No coupon
2992950,2023-11-25,PhenQ USA,Phen Q,US,566.54,0.0,534.4716981132075,True,",EXTRA10",No coupon
3164568,2024-04-23,CrazyBulk USA,CrazyBulk,US,565.23,0.0,529.4894613583139,True,",FREE PRODUCT,LCB3GI76UXHUB",No coupon
2926220,2023-10-07,CrazyBulk CA,CrazyBulk,CA,564.29,0.0,564.29,True,FREE PRODUCT,No coupon
2515194,2023-03-22,CrazyBulk USA,CrazyBulk,US,564.11,0.0,522.324074074074,True,",FREE PRODUCT,SALE20",No coupon
2087168,2022-07-05,CrazyBulk AUS,CrazyBulk,AU,563.3968862815884,0.0,512.1789875287167,True,",BUY 2 GET 1 FREE,BUY 2 GET 1 FREE,BUY 2 GET 1 FREE,FREE PRODUCT,SALE20",No coupon
3320925,2024-11-05,CrazyBulk USA,CrazyBulk,US,563.37,0.0,520.4341801385681,True,",,FREE PRODUCT,MISSYOU40",No coupon
3349374,2024-12-13,CrazyBulk USA,CrazyBulk,US,563.28,0.0,519.1520737327189,True,FREE PRODUCT,No coupon
3042849,2024-01-09,CrazyBulk USA,CrazyBulk,US,562.9,0.0,489.4782608695653,True,",FREE PRODUCT",No coupon
2627006,2023-05-11,CrazyBulk USA,CrazyBulk,US,562.28,0.0,562.28,True,"FREE PRODUCT,CBS-3786NZ",No coupon
2667537,2023-05-31,CrazyBulk USA,CrazyBulk,US,561.91,0.0,516.1056257175659,True,",FREE PRODUCT",No coupon
3312113,2024-10-24,CrazyBulk USA,CrazyBulk,US,561.29,0.0,511.4259681093394,True,",FREE PRODUCT",No coupon
2225140,2022-10-15,Crazy Nutrition US,Crazy Nutrition,FR,561.097788435918,0.0,531.8462449629554,False,,No coupon
2991120,2023-11-24,CrazyBulk USA,CrazyBulk,US,560.9,0.0,514.5871559633027,True,",FREE PRODUCT",No coupon
2108646,2022-07-20,CrazyBulk USA,CrazyBulk,US,560.5410675115769,0.0,517.8208475857523,True,"FREE PRODUCT,BUY 2 GET 1 FREE",No coupon
