antecedent,consequent,pair_order_count,support,confidence,lift
AS6495P3,AS6493P3,343,0.0003400659113171556,0.07872389258664218,10.016793532468744
AS6493P3,AS6495P3,343,0.0003400659113171556,0.04326983726504352,10.016793532468744
AS6487P1,AS6493P1,503,0.0004986972402114555,0.12419753086419753,9.842010304878523
AS6493P1,AS6487P1,503,0.0004986972402114555,0.03951917033312382,9.842010304878523
CB2608P1,AS6569M6,255,0.0002528186804252906,0.06402209389907106,9.81524190990002
AS6569M6,CB2608P1,255,0.0002528186804252906,0.03875968992248062,9.81524190990002
CBLOYALFLYER,AS6493P1,1266,0.0012551703898761486,0.12377786468517794,9.808753936335767
AS6493P1,CBLOYALFLYER,1266,0.0012551703898761486,0.09946574481458202,9.808753936335767
AS6492P3,CB2586P1,342,0.0003390744655115662,0.07074886222589988,9.795371778886059
CB2586P1,AS6492P3,342,0.0003390744655115662,0.04694577899794097,9.795371778886059
AS6385P6,AS6385P2,305,0.00030239097070475934,0.06577528574509381,9.686493635640602
AS6385P2,AS6385P6,305,0.00030239097070475934,0.04453204847422981,9.686493635640602
WB2590P1,WS1267P3,488,0.00048382555312761496,0.11905342766528422,9.541566995564583
WS1267P3,WB2590P1,488,0.00048382555312761496,0.03877632101708383,9.541566995564583
AS5123M6,MH-MAGWIN21,1024,0.0010152405049235198,0.137008295424137,9.41479786054343
MH-MAGWIN21,AS5123M6,1024,0.0010152405049235198,0.06976427306172503,9.41479786054343
CB2586P1,CB2584P1,546,0.0005413294098517987,0.07494852436513384,9.310897922571279
CB2584P1,CB2586P1,546,0.0005413294098517987,0.067249661288336,9.310897922571279
WB1450P1,WS1325P5,305,0.00030239097070475934,0.14834630350194553,9.16097688168495
WS1325P5,WB1450P1,305,0.00030239097070475934,0.018673850486744626,9.16097688168495
CBLOYALFLYER,AS6492P1,1191,0.0011808119544569455,0.1164450527962456,9.157160510819555
AS6492P1,CBLOYALFLYER,1191,0.0011808119544569455,0.09285825666614689,9.157160510819555
AS1373P1,AS6486P1,862,0.0008546262844180411,0.1756316218418908,8.818107993187446
AS6486P1,AS1373P1,862,0.0008546262844180411,0.04290905470655583,8.818107993187446
WB2591P1,NC4532P5,223,0.0002210924146464306,0.05028184892897407,8.745590743495992
NC4532P5,WB2591P1,223,0.0002210924146464306,0.038454906018279014,8.745590743495992
AS6485P1,AS6495P1,363,0.0003598948274289431,0.10733293908929628,8.2925321859639
AS6495P1,AS6485P1,363,0.0003598948274289431,0.02780543852929912,8.2925321859639
AS1373P1,CB2586P1,290,0.0002875192836209187,0.05908720456397718,8.180783660254656
CB2586P1,AS1373P1,290,0.0002875192836209187,0.03980782429649966,8.180783660254656
WB2591P1,NC4532P3,740,0.0007336698961361374,0.1668545659526494,8.016681138840987
NC4532P3,WB2591P1,740,0.0007336698961361374,0.035249845186490734,8.016681138840987
AS6483P1,AS6493P1,258,0.0002557930178420587,0.10031104199066875,7.949129923080156
AS6493P1,AS6483P1,258,0.0002557930178420587,0.02027027027027027,7.949129923080156
AS6494P1,AS6492P1,601,0.0005958589291592143,0.09948683992716438,7.823578074384527
AS6492P1,AS6494P1,601,0.0005958589291592143,0.04685794479962576,7.823578074384527
CB2608P1,CB2584P1,249,0.0002468700055917543,0.06251569168968114,7.766360029262189
CB2584P1,CB2608P1,249,0.0002468700055917543,0.030668801576548835,7.766360029262189
AS6493P1,AS6492P1,1257,0.0012462473776258442,0.09875864236329353,7.766313108498676
AS6492P1,AS6493P1,1257,0.0012462473776258442,0.09800405426477468,7.766313108498676
AS6487P1,AS6488P1,1360,0.00134836629560155,0.3358024691358025,7.761578735036119
AS6488P1,AS6487P1,1360,0.00134836629560155,0.031165497960493147,7.761578735036119
AS6490P1,AS6486P1,2567,0.002545041382947925,0.15280671468539794,7.672115636403183
AS6486P1,AS6490P1,2567,0.002545041382947925,0.12778137289063668,7.672115636403183
AS6485P1,AS6488P1,1110,0.001100504844204206,0.3282081608515671,7.586047501338156
AS6488P1,AS6485P1,1110,0.001100504844204206,0.025436546129520142,7.586047501338156
CB2585P1,protect,339,0.0003361001280947981,0.09088471849865952,7.5169226609156174
protect,CB2585P1,339,0.0003361001280947981,0.02779827798277983,7.5169226609156174
WB2460P5,WB2460P3,209,0.00020721217336817934,0.07830648182840015,7.347173037545636
WB2460P3,WB2460P5,209,0.00020721217336817934,0.01944186046511628,7.347173037545636
AS6487P1,CB2584P1,239,0.0002369555475358606,0.05901234567901235,7.331137356513223
CB2584P1,AS6487P1,239,0.0002369555475358606,0.029437122798374182,7.331137356513223
AS6493P1,AS6495P1,1206,0.0011956836415407861,0.09475172847265871,7.320509106543149
AS6495P1,AS6493P1,1206,0.0011956836415407861,0.09237839908081195,7.320509106543149
AS6492P3,AS6488P3,319,0.0003162712119830106,0.06599089780719901,7.280711799768051
AS6488P3,AS6492P3,319,0.0003162712119830106,0.034893896302778386,7.280711799768051
WB2460P3,WB2460P1,825,0.0008179427896112342,0.07674418604651163,7.142123536051018
WB2460P1,WB2460P3,825,0.0008179427896112342,0.07612105554530356,7.142123536051018
AS6494P1,AS6493P1,543,0.0005383550724350305,0.08988578049991723,7.1229820092764395
AS6493P1,AS6494P1,543,0.0005383550724350305,0.04266184789440603,7.1229820092764395
WB1450P1,WS1324P3,1007,0.0009983859262285004,0.4897859922178988,6.716315438436453
WS1324P3,WB1450P1,1007,0.0009983859262285004,0.013690621856051336,6.716315438436453
WS1325P6,MH-MAGWIN21,1284,0.0012730164143767574,0.09771689497716896,6.714811033317344
MH-MAGWIN21,WS1325P6,1284,0.0012730164143767574,0.08747785801880366,6.714811033317344
AS1373P1,CB2584P1,262,0.0002597588010644162,0.05338223308883456,6.631705258766476
CB2584P1,AS1373P1,262,0.0002597588010644162,0.032269983988175883,6.631705258766476
WS5399M3,CBLOYALFLYER,308,0.00030536530812152747,0.06711701895837874,6.6187040084035615
CBLOYALFLYER,WS5399M3,308,0.00030536530812152747,0.030113414157215485,6.6187040084035615
NC4532P6,MH-MAGWIN21,355,0.0003519632609842281,0.09584233261339092,6.5859967474573695
MH-MAGWIN21,NC4532P6,355,0.0003519632609842281,0.0241858563837035,6.5859967474573695
AS6483P1,AS6495P1,216,0.00021415229400730497,0.08398133748055987,6.488389770995186
AS6495P1,AS6483P1,216,0.00021415229400730497,0.01654538490999617,6.488389770995186
CB2608P1,AS6384M4,351,0.0003479974777618706,0.08812452924930957,6.454496237576981
AS6384M4,CB2608P1,351,0.0003479974777618706,0.025488345072979448,6.454496237576981
AS6493P3,AS6488P3,447,0.00044317627509845057,0.056389554686514444,6.221404918436851
AS6488P3,AS6493P3,447,0.00044317627509845057,0.0488952089258368,6.221404918436851
CBLOYALFLYER,AS6384M4,859,0.000851651947001273,0.08398513883457176,6.151315272125223
