sku,orders_with_sku,revenue_alloc_gbp
WB2464BF12,41,6908.294905361809
WB2650P5,40,2332.883897974795
CB0513P2,40,1125.4461109747308
CN1425P3,38,2975.50190842996
CN2492M3,38,3743.338150104343
NC4532BFM2,38,1956.4422461493982
WB1448P2,36,1056.9416666666666
TP2750P3,36,1372.3651385841388
SP40051,35,633.5667934119942
AS8565P1,34,1875.6442571954083
PQ2737M3,34,1583.3256978656739
CN2437M3,34,3067.338898918733
CB2602M3,34,1680.785103540076
WS1267BF7,34,4490.565166405592
TP2751P3,32,1104.9140900803889
WB1421P1,32,733.0561111111111
CB2627BFM2,32,1618.7085830840324
WB2650BFM6,30,1769.0076530110414
SP2712M3,30,992.1255331242228
CB2625BFM2,30,1311.5943290622722
CN1301M2,29,899.5769898938584
GE-GUIDES,29,725.1760715653479
WB2614P1,29,1154.7969278055057
CB2606M3,29,1323.0054542762307
AS3984P5,28,3669.763707513383
DMBGIFTCARD,28,1653.592321190124
CB2604M3,28,1384.2628437891597
WB1416P1,27,491.99083333333334
CN2516P2,27,1609.75992529433
PQ2736M3,27,1283.6849181254906
CN2397P2,26,1228.8609089167228
WB2583P4,26,2420.2639649227417
WB1455P2,26,869.3725198412699
CB2626BFM2,25,1146.1983006400544
SP0360P1,25,202.93897621120993
AS6269P5,25,2066.150193525752
SEMENOLL-8,25,5064.297328334298
AS6486P5,25,1685.4477383063545
AC6578P5,24,3223.18715049506
SP0322P1,24,172.5925875273399
WB2528BF2,23,1238.0856796504677
,23,727.8572070795773
AS5004P5,23,1721.4019301646376
AS6269P9,23,2960.0542107569236
CN2495M3,23,2774.610415820852
PQ2735M3,22,968.1663923652744
RCPM120P3,22,1549.0392324494078
AS8565P3,22,1727.8838388849808
WB1448P3,22,965.1416666666667
NC-FREEGUIDES,22,889.6140151515151
WB1460M2,22,402.30555555555554
WB2563M4,21,1012.2396375765611
WS4552P1,21,172.27222222222224
AC6995P1,21,1050.815221440106
WB2501P1,20,697.7221347855487
CN1426P2,20,1346.3032679260264
AS5203P1,20,864.7455681952996
SP40052,20,360.3650075414781
SP0292P1,20,158.70857314148682
SEMENOLL-2,19,587.4908333333334
WB1435P12,19,147.89027777777778
WB1459M2,19,394.6958333333333
AS3193P5,19,2761.0264015118655
SP0452P1,19,138.59082466057703
CN2397P3,19,1094.7428517447995
CB2738M5,19,1007.7766847418036
CN1101M2,18,631.7084213509102
WB2650BFM4,18,747.6622628988724
WB1456M6,18,1169.619880952381
CN2494M3,17,1533.4814305092852
SP40055,17,346.07430555555555
WB1418P2,17,747.0770833333333
AS6384M12EU,17,1692.588699113704
CN2493M3,17,1212.5815291322053
CN2440M3,16,1323.7632077494734
SP0346P1,16,113.45185876623377
WB1175P1,16,133.58888888888887
SP0353P1,16,157.9875562169312
SP0469P1,16,117.28497509347746
AS3054P3,16,518.0668254220769
WB1423P1,16,290.77777777777777
CN2444M3,15,1006.3121282517359
SP1303P2,15,184.64930474449235
SP2713M3,15,577.8526388888889
SP0308P1,14,138.72141895141897
300877,14,765.3959531930977
SP40056,14,268.1825400242378
WB1449P2,14,424.31041666666664
SP0339P1,14,122.56278749339384
SP40057,13,258.6499011353489
WB1417P1,13,199.14583333333334
WB1431P12,13,163.29236111111112
CN2438M3,13,1065.659425963774
MH-MAGWIN22,13,73.78877266621276
AS6472P1,12,388.3191044499136
SP1306P2,12,93.68137265512266
WS5387P1,12,252.40824900753591
SP0445P1,12,85.34243851279722
WB1458M5,12,740.3491666666666
AS3175P1,12,548.1075028577761
CN1427P2,12,582.5847050925211
AS8565P5,12,1551.7965356429047
AS6472P3,12,697.5470222077649
AS3054P1,12,201.7133253194474
SP40054,11,200.64652777777778
CN2633P1-S,11,356.19472745772583
AS6385BF24,11,2671.9793890838773
CN2498M3,11,943.2278214332684
300878,11,1128.8759484213624
WB2650BFM12,11,1236.3363553181182
TP2750P5,11,508.5272397285838
SP1262P1,10,84.97116081438533
SP2714M3,10,401.1951388888889
SP40058,10,233.45069444444445
WB2615P1,10,411.30349434756016
WB1449P3,10,454.09305555555557
CB2609M9,10,1261.927434364145
TP2750P1,10,238.67710438871438
CN2439M3,10,759.0032590329613
CB2629BFM2CB,10,241.1928898311746
WB1437P12,9,66.37361111111112
WB1422P2,9,209.49166666666667
WB1422P1,9,149.8986111111111
CN2516P3,9,1269.760839538197
SP1181P1,9,57.17893518518519
SP0933P1,9,66.69726851851851
WB1416P2,9,278.38015873015877
MH-MAGSPR22,9,69.6578776276181
SP40053,9,153.23333333333335
SP0315P1,9,68.28603535353535
MH-MAGFAL21,9,46.204452014352
CB2510P1,9,268.52294391471946
WS2446BF12,9,2247.060039252248
MH-MAGWIN22-1,8,47.734704529753756
SP1381P2,8,67.08236471861471
SP40059,8,147.74805555555557
CN2515P3,8,1036.0262901580272
TP2751P5,8,403.5031298611532
CN2496M3,8,727.4456320618044
AS5008P3,8,677.4182445546471
SP40066,8,156.43333333333334
CN1426P3,7,431.55909610521195
SP2683M3,7,199.8721101145989
WB1417P2,7,121.35625
CB2513P1,7,237.77079622794048
MH-MAGFAL22,7,94.48176959598302
SP0407P1,7,69.07331689454824
SP1151P1,7,64.24574074074074
MH-MAGSUM21,6,54.3218368667343
WB2523P3,6,392.1960005247025
SP0926P1,6,50.575694444444444
CB2613M6,6,455.69398949070955
AS6269P6,6,273.4468457198934
AS6201P1,6,311.267845772369
373438,6,1063.024591491055
WB2466P3,6,190.10275486655945
SP2715M3,6,211.70763888888888
SP2669M3,6,258.575
WB2616P1,6,258.0460873959105
SP2725M3,6,216.6625
CB2511P1,6,174.09416227855382
MH-MAGSPR23,6,39.16615207373272
SP2701M3,6,265.4325
SP0421P1,5,69.84666666666666
SP1148P2,5,44.85208333333333
SP1152P1,5,32.621931216931216
CN1305M2,5,208.89788053136687
MH-MAGSUM23,5,28.189938271604937
373433,5,292.89322438977234
WB2464P9,5,649.0099533134864
CN1302M2,5,215.64477038546042
CN2441M3,5,529.8356703562204
TP2751P1,5,126.36893128094897
BRF-BOTTLE,5,26.495833333333337
CN2515P1-S,5,254.10512372579282
CB2509P1,5,157.12937055535457
SP1154P1,5,44.88861111111111
NC4532BFM4,5,197.30941777709
AS6269P2,5,87.11833333333334
CB2512P1,5,185.7572429322985
SP1338M4,5,66.46316262353999
SP1352P1,5,34.71233390280942
WB1457M3,5,139.36666666666667
SP2716M3,5,174.69444444444446
AS5122M7,5,204.51402807342956
SP1251P12,5,40.73015797688349
SP1305P2,5,39.54381313131313
MH-MAG-Z1,4,26.019824088896875
SP1342M4,4,61.395833333333336
CN2402P1,4,35.930580124659166
AC6995P3,4,403.9867712365431
WB2426P1,4,49.90694444444445
WB1469M5,4,205.83333333333334
WB1429P12,4,70.39527777777778
CN2401P1,4,44.502323768670976
WB1423P2,4,149.96666666666667
AS3175P3,4,363.76044365853363
CN1103M2,4,149.8433134824352
SP1353P1,4,44.425
MH-MAGSPR21,4,32.10810958530739
SP1339M5,4,56.928333333333335
MH-MAGSUM22-1,4,44.80022550523782
WB2425P1,4,54.325
SP1245P12,4,37.75386168058719
SP2717M3,4,152.90416666666667
SP1147P2,4,44.54291666666667
WB2427P1,4,31.4125
SP1337M4,4,56.32361111111111
MH-MAGSUM22,4,19.140330308750634
CN1303M2,4,200.4963173621582
WB2524P3,4,267.9943181818182
SP2699M3,4,122.21597222222223
WB2636P1,4,144.55575616937966
WB1455P3,3,85.28611111111113
WS1325P5-S,3,308.45195342732205
WS5385P1,3,95.17138534429861
WB2431P1,3,32.833333333333336
MH-MAGWIN20,3,25.437406363364104
NC4532BFM12,3,310.52694041846576
WB1419P2,3,97.37083333333334
CN2620P1-Z1,3,40.71350168350169
CB2564M3-U,3,41.743472222222216
SS122,3,82.8729503184426
SP1146P1,3,26.351388888888888
AS6450P1,3,127.87893515819646
SP1153P1,3,23.458809318790664
SP1146P2,3,38.96541666666667
WB1418P3,3,247.1388888888889
AS6472P6,3,214.40791492606206
CN1427P1-Z1,3,69.33623275215005
WB2464P1-Z1,3,77.73053461031401
AS4997M11,3,497.45550016496634
CN1384P1-Z1,3,49.90738718823155
CN2499M3,3,333.88070325198527
SP2671M3,3,130.44166666666666
SP1351P1,3,22.32027777777778
WB2617P1,3,110.62723874256584
AS2374P1,3,34.36174390214659
300880,2,315.9039077014786
AS5203P3,2,136.65448265958065
WB2588P2,2,50.906666666666666
WB2583P5-U,2,205.392605453035
WB2424P1,2,21.5
WB2637P1,2,57.72725918900481
WB2650BFM2,2,56.753834668114564
WB2637P3,2,113.09967418275609
WB2436P1,2,25.65833333333334
AS5010P1,2,47.13888888888889
AS6488P6,2,98.65222222222222
AS6494P6,2,43.60452083298233
AS7102P1,2,148.0537297921478
AS4996M4,2,97.5
AS4933P1,2,22.507395100740226
CB-CL-JC001L,2,19.342332486002668
WS1324P3-S,2,159.7687984496124
CB-CL-JC001XL,2,16.023151996144083
CB-CL-JC007L,2,53.49562571909205
WB2432P1,2,22.66388888888889
WB2433P1,2,29.4125
KC1370P2,2,83.18
WB1416P3,2,59.00416666666666
CN2635P1-Z1,2,13.933411777786013
MH-MAGFALL23-1,2,10.810671462829738
NC4532BFM6,2,75.11841072596468
SP2692M3,2,87.44583333333333
SP2687M3,2,87.90833333333333
CN1383P1-Z1,2,86.54424520440875
SP1155P1,2,13.091666666666669
0,2,65.81291682753087
SP2685M3,2,55.8
RCPM120P5,2,134.92126013585596
SP1183P12,2,15.628935185185187
MH-MAGSUM23-1,2,11.86572855685053
CN1105M2,2,74.25125899280576
SS115,2,41.44563710499491
CN1426P1-Z2,2,14.99981776765376
CN1102M2,2,46.590848899277574
SEMENOLL-6,2,97.37878787878789
CN1427P3,2,115.26161742640261
WB1439P12,2,15.830000000000002
MH-MAG,2,16.764938271604937
SP1340M4,2,24.726666666666667
SP1382P2,2,17.014444444444447
LB008NOO,2,79.2642805177227
WB1462M3,2,32.5
CN1304M2,2,100.10350984593408
WB1465M3,2,36.138888888888886
WB1467M6,2,66.61111111111113
SP1343M4,2,24.55833333333333
AS4998M5,1,94.9739212531968
SP0391P1,1,7.286458333333334
AS5008P2,1,66.20516974740409
WPC80S,1,47.41151310639807
CB2518P1,1,29.00733608436497
SP1147P1,1,7.343518518518518
AS5008P5,1,136.25387020340804
SP1150P2,1,7.302777777777777
AS5010P3,1,36.66612090450982
AS5010P5,1,88.36337928596679
CN1428P1-Z1,1,4.690419880357996
WB2638P3,1,28.526956521739134
WB2638P1-S,1,84.56521739130436
SP1341M4,1,12.279166666666667
AS4997M10,1,71.24
NC4532P2-U,1,36.751933602981374
WS1267P1-Z1,1,30.82956259426848
CN2622P1-Z1,1,11.897482014388487
checkout_v2,1,121.5
1,1,73.63636363636363
WS5399M7,1,89.71600398937164
300877300878,1,54.29229126161533
DC_CODE,1,49.5754716981132
MH-MAGFAL22-1,1,5.029454262531956
CN2639P1,1,0.0
MH-MAGSPR22-1,1,16.213324603255057
373443,1,26.26554069507713
CN2623P1-Z1,1,5.091269841269841
AS0067P3,1,38.47990815154994
AS0544P1,1,34.84591194968554
AS1208P6,1,56.87280167038018
AS4935P1,1,10.383856502242152
CN2621P1-S,1,31.102777777777778
AS1373P3,1,22.496969696969696
WS1268P1-Z1,1,28.95063145809414
WS1268P1-S,1,38.95
AS2408P1,1,5.245611512641486
CN2620P1-U,1,36.43333333333334
CN2600P1-Z1,1,5.875560538116591
WB2618P1-U,1,24.59293394777266
CN2516P1-Z1,1,112.52264150943395
CN2516P1-S,1,49.91784695643696
AS4448M3,1,11.898
CN2497M3,1,95.84028009336446
WB2618P1-Z1,1,27.879907621247114
AS5203P2,1,68.79420912118461
WB2618P1-S,1,27.147222222222226
CB-CL-JC007M,1,40.24596803888357
SS121,1,17.47380410022779
AS6633P3,1,18.913472042592197
SS127,1,66.62672811059909
TBC,1,14.687878787878788
CN1207M2,1,46.94570135746606
CN1204M2,1,21.45178435839028
CN1203M2,1,22.289673375123723
CB-CL-GD123XL,1,12.772013166179503
CN1201M2,1,53.89351851851851
CN1106M2,1,22.863997047425723
CB-CL-JC001XXL,1,12.772013166179503
KC2392P1,1,12.239760196163466
CB2416P1-U,1,30.314748201438846
SP1345M4,1,13.4
CB2419P1-U,1,26.550458715596328
CN1104M2,1,45.3875
WB1421P2,1,19.993750000000002
WB1423P3,1,33.22083333333334
WB2429P1,1,8.333333333333334
WB2428P1,1,12.666666666666666
CB2586P1-Z1,1,15.050505050505054
CB2585P1-U,1,23.43827160493827
WB1461M3,1,13.330555555555556
WB2394P5-S,1,107.3363636363636
WB1463M3,1,9.997916666666669
CB2514P1,1,29.121739130434786
AS6591P1,1,63.78545906703163
WB2466P1-Z1,1,13.699769053117782
SS119,1,0.0
SS116,1,7.055940918659626
SP1346M4,1,8.297916666666667
SP2670M3,1,44.975
WB2614P3,1,0.0
CB2517P1,1,44.91007194244603
SP2675M3,1,44.975
WB2591P1-Z1,1,30.39814814814815
SP2684M3,1,19.31666666666667
AS6269P3-PP,1,45.385
AS6269P3-S,1,46.0375
SP2688M3,1,44.975
SP2696M3,1,44.975
SP2706M3,1,70.08333333333333
SP2709M3,1,37.822429906542055
WB2583P3-U,1,109.59
AS6450P3,1,92.15326364941976
CN1426P1-S,1,9.10681818181818
CN1306M2,1,52.29245283018868
AS6472P5,1,79.81651071037803
AS6487P6,1,72.20972222222223
AS6488P1-U,1,36.10277777777778
SS102,1,132.88327592805203
AS6488P1-Z1,1,10.80607476635514
SS104,1,97.02666666666666
SS106,1,20.560364464692483
AS6492P6,1,18.700539568345324
CN2623P1-U,1,22.860869565217392
